UMAP_1,UMAP_2,Outlier_Level
12.345779,11.985206,0
12.522888,11.912281,0
13.100642,11.644291,0
6.2103667,-1.8272122,0
3.1653383,-3.0420654,0
10.042491,0.28107816,0
7.042574,-1.1421198,0
8.785732,5.397365,0
8.661117,-9.317769,0
11.001572,13.254485,0
12.353279,11.974162,0
3.945837,-3.0278971,0
10.085287,3.3061,0
8.479503,-10.033144,0
10.092371,7.308463,0
12.175173,12.105683,0
7.6729164,3.4786103,0
10.498695,0.56039685,1
16.266766,14.034231,0
12.35709,12.027384,0
10.53169,12.973464,0
11.199108,13.126086,0
9.208267,8.269953,0
8.596065,-0.9529436,0
7.1605263,1.1177139,0
16.222286,12.810739,0
11.5336895,12.297208,0
13.464177,6.2065554,0
7.9754486,5.087506,0
11.816502,6.5630527,0
12.095252,1.9500327,0
10.100202,6.3661795,0
12.509496,2.2164297,0
11.746823,0.8386245,0
8.384526,7.697172,0
9.0663805,1.4172626,0
10.933986,-0.5633036,0
13.750889,2.4101484,0
9.202666,8.138449,0
9.718194,7.598181,0
11.836857,-0.024458162,0
7.654501,-3.3502936,0
6.348149,3.442937,0
10.200597,1.1238045,0
11.7953,6.2773566,0
13.056463,5.99744,0
13.371118,-0.96179646,0
8.623666,1.7485297,0
9.266027,1.6322242,0
11.118522,12.789085,0
8.632299,-9.202357,0
12.138673,-0.21095873,0
11.339263,3.2920678,0
8.664838,-3.364685,0
7.724096,-9.688102,0
7.424288,1.5899495,0
11.526846,10.912324,0
6.7691917,0.48982355,0
11.186955,-2.7288501,0
8.915166,8.389822,0
14.421807,1.6494812,0
8.69852,5.661581,0
11.474744,-1.0619575,0
11.162221,3.7589653,0
11.247039,3.4252388,0
8.3937235,-0.6510922,0
8.859074,5.314752,0
5.8987064,3.3831408,0
10.485692,3.975727,0
10.854288,11.66117,0
9.396283,1.0426893,0
10.709192,11.809269,0
11.721738,12.30851,0
9.234168,3.3081703,0
13.792797,0.61351085,0
14.01068,1.5218133,0
7.6018763,-2.9528813,0
13.127966,1.4180465,0
9.190502,1.620204,0
7.472714,5.55791,0
10.988348,3.3058798,0
13.563517,0.66790587,0
13.6676445,-1.0141393,0
13.775087,-1.0383055,0
6.851161,-4.1339183,0
13.235557,0.23297241,0
8.484265,0.25310126,0
14.4927,1.1340684,0
12.138631,-2.9576967,1
9.60239,6.734879,0
10.342352,-3.9363022,0
4.4197097,-3.1120856,0
11.806433,-2.3570924,0
10.868326,13.633617,0
14.128612,1.1199915,0
13.885849,0.37111872,0
13.40452,-0.9666412,0
9.226164,6.0014997,0
7.993498,6.3938746,0
11.413386,13.646901,0
14.743184,5.4758487,0
12.509931,2.1260674,0
8.998028,6.3084283,0
10.269283,0.65181816,0
13.384934,5.874766,0
5.043776,3.570273,0
9.930651,-2.4568937,0
6.425846,3.2539132,0
6.722277,4.3726377,0
11.391842,-2.700323,0
2.443496,-2.0450547,0
7.661143,-3.8998392,0
13.688561,2.1734843,0
13.236382,1.4028059,0
13.127765,1.6272552,0
10.548364,12.734768,0
9.789911,12.319447,0
10.348418,12.29584,0
15.623794,14.636159,1
12.6367235,3.273488,0
15.303787,13.661291,0
9.871492,12.310184,0
11.678038,6.043186,0
11.943008,1.206317,0
4.602658,1.0258148,0
9.781669,12.304799,0
15.626694,14.773399,0
12.698314,10.506693,0
13.410884,8.8170805,0
-0.5449267,1.6338246,2
10.402616,-7.415522,0
10.109029,12.456717,0
9.512598,-1.4916393,0
3.6410782,-2.4269226,0
11.837836,13.107823,0
11.839334,10.151255,0
5.546295,3.6939049,0
8.342003,-4.22186,0
10.334983,-7.4521027,0
15.767958,12.439642,0
8.225616,7.2104077,0
5.508868,3.9941587,0
8.558554,7.4952025,0
10.513989,11.449853,0
10.421013,-2.5952992,0
9.483677,-1.2748377,0
11.050965,9.175237,0
12.898536,10.615796,0
13.650098,5.822982,0
9.2521105,1.7938939,0
11.454395,10.4681,0
14.760441,14.145818,0
8.440894,1.0968597,0
9.111298,2.2319589,0
7.4879446,8.225844,0
